step_idx,loss,learning_rate,train_accuracy,test_accuracy
1,0.039739370346069336,1.6666666666666667e-08,0.71875,NA
2,0.03445795178413391,3.3333333333333334e-08,0.734375,NA
3,0.04334691911935806,5.0000000000000004e-08,0.65625,NA
4,0.03314073756337166,6.666666666666667e-08,0.734375,NA
5,0.05104454234242439,8.333333333333334e-08,0.59375,NA
6,0.040991682559251785,1.0000000000000001e-07,0.6875,NA
7,0.03983728960156441,1.1666666666666668e-07,0.703125,NA
8,0.04009207710623741,1.3333333333333334e-07,0.734375,NA
9,0.05199384316802025,1.5000000000000002e-07,0.5625,NA
10,0.04223306104540825,1.6666666666666668e-07,0.6875,NA
11,0.0535966120660305,1.8333333333333333e-07,0.59375,NA
12,0.04228968173265457,2.0000000000000002e-07,0.640625,NA
13,0.03853239119052887,2.166666666666667e-07,0.703125,NA
14,0.03940315544605255,2.3333333333333336e-07,0.734375,NA
15,0.04262561351060867,2.5000000000000004e-07,0.65625,NA
16,0.03339961916208267,2.6666666666666667e-07,0.734375,NA
17,0.041332025080919266,2.8333333333333336e-07,0.640625,NA
18,0.05704505369067192,3.0000000000000004e-07,0.578125,NA
19,0.036215972155332565,3.1666666666666667e-07,0.765625,NA
20,0.04529600590467453,3.3333333333333335e-07,0.65625,NA
21,0.04564167186617851,3.5000000000000004e-07,0.609375,NA
22,0.03811497613787651,3.6666666666666667e-07,0.71875,NA
23,0.04110613092780113,3.8333333333333335e-07,0.671875,NA
24,0.042721591889858246,4.0000000000000003e-07,0.671875,NA
25,0.045250292867422104,4.1666666666666667e-07,0.609375,NA
26,0.03689790889620781,4.333333333333334e-07,0.734375,NA
27,0.03674697503447533,4.5e-07,0.6875,NA
28,0.04418765380978584,4.666666666666667e-07,0.6875,NA
29,0.03670634329319,4.833333333333333e-07,0.703125,NA
30,0.04505559429526329,5.000000000000001e-07,0.640625,NA
31,0.045530498027801514,5.166666666666667e-07,0.71875,NA
32,0.040414076298475266,5.333333333333333e-07,0.703125,NA
33,0.037502240389585495,5.500000000000001e-07,0.71875,NA
34,0.050637222826480865,5.666666666666667e-07,0.59375,NA
35,0.034594278782606125,5.833333333333334e-07,0.75,NA
36,0.043097447603940964,6.000000000000001e-07,0.640625,NA
37,0.039460815489292145,6.166666666666668e-07,0.6875,NA
38,0.04052237421274185,6.333333333333333e-07,0.71875,NA
39,0.0541837103664875,6.500000000000001e-07,0.5625,NA
40,0.03586933761835098,6.666666666666667e-07,0.734375,NA
41,0.038834478706121445,6.833333333333334e-07,0.703125,NA
42,0.05048102140426636,7.000000000000001e-07,0.59375,NA
43,0.04191422462463379,7.166666666666668e-07,0.671875,NA
44,0.04932882636785507,7.333333333333333e-07,0.625,NA
45,0.031405579298734665,7.5e-07,0.734375,NA
46,0.042840633541345596,7.666666666666667e-07,0.65625,NA
47,0.03665957599878311,7.833333333333334e-07,0.703125,NA
48,0.038737621158361435,8.000000000000001e-07,0.71875,NA
49,0.03885184973478317,8.166666666666669e-07,0.703125,NA
50,0.04498235508799553,8.333333333333333e-07,0.65625,NA
51,0.043870117515325546,8.5e-07,0.609375,NA
52,0.043127063661813736,8.666666666666668e-07,0.609375,NA
53,0.04762081801891327,8.833333333333335e-07,0.609375,NA
54,0.03454199060797691,9e-07,0.671875,NA
55,0.04209720343351364,9.166666666666667e-07,0.671875,NA
56,0.04333152994513512,9.333333333333334e-07,0.71875,NA
57,0.04181689769029617,9.500000000000001e-07,0.640625,NA
58,0.046108510345220566,9.666666666666666e-07,0.609375,NA
59,0.04232122004032135,9.833333333333334e-07,0.671875,NA
60,0.037905994802713394,1.0000000000000002e-06,0.671875,NA
61,0.03832252696156502,1.0166666666666667e-06,0.6875,NA
62,0.04380502924323082,1.0333333333333333e-06,0.640625,NA
63,0.0437634103000164,1.0500000000000001e-06,0.671875,NA
64,0.044734325259923935,1.0666666666666667e-06,0.65625,NA
65,0.03787510097026825,1.0833333333333335e-06,0.6875,NA
66,0.03888758271932602,1.1000000000000003e-06,0.640625,NA
67,0.03556050360202789,1.1166666666666666e-06,0.734375,NA
68,0.038239073008298874,1.1333333333333334e-06,0.734375,NA
69,0.0435902439057827,1.1500000000000002e-06,0.65625,NA
70,0.03670218959450722,1.1666666666666668e-06,0.734375,NA
