step_idx,loss,learning_rate,train_accuracy,test_accuracy
1,0.09840282052755356,1.6666666666666667e-08,0.125,NA
2,0.09085962176322937,3.3333333333333334e-08,0.25,NA
3,0.09190991520881653,5.0000000000000004e-08,0.203125,NA
4,0.08653866499662399,6.666666666666667e-08,0.3125,NA
5,0.09956890344619751,8.333333333333334e-08,0.171875,NA
6,0.10013892501592636,1.0000000000000001e-07,0.15625,NA
7,0.08342976868152618,1.1666666666666668e-07,0.28125,NA
8,0.09041085839271545,1.3333333333333334e-07,0.234375,NA
9,0.09581796824932098,1.5000000000000002e-07,0.171875,NA
10,0.08675862848758698,1.6666666666666668e-07,0.28125,NA
11,0.09002470225095749,1.8333333333333333e-07,0.234375,NA
12,0.08919958025217056,2.0000000000000002e-07,0.21875,NA
13,0.09265866130590439,2.166666666666667e-07,0.1875,NA
14,0.09641730040311813,2.3333333333333336e-07,0.15625,NA
15,0.08825656026601791,2.5000000000000004e-07,0.265625,NA
16,0.09611815214157104,2.6666666666666667e-07,0.1875,NA
17,0.09827116876840591,2.8333333333333336e-07,0.171875,NA
18,0.08988477289676666,3.0000000000000004e-07,0.203125,NA
19,0.10001712292432785,3.1666666666666667e-07,0.125,NA
20,0.09698276966810226,3.3333333333333335e-07,0.1875,NA
21,0.08780725300312042,3.5000000000000004e-07,0.25,NA
22,0.09488267451524734,3.6666666666666667e-07,0.171875,NA
23,0.098418690264225,3.8333333333333335e-07,0.1875,NA
24,0.09207742661237717,4.0000000000000003e-07,0.171875,NA
25,0.0935472771525383,4.1666666666666667e-07,0.21875,NA
26,0.09214689582586288,4.333333333333334e-07,0.1875,NA
27,0.08923432976007462,4.5e-07,0.265625,NA
28,0.0946466252207756,4.666666666666667e-07,0.203125,NA
29,0.0978938490152359,4.833333333333333e-07,0.09375,NA
30,0.09915520250797272,5.000000000000001e-07,0.15625,NA
31,0.10189012438058853,5.166666666666667e-07,0.15625,NA
32,0.08932140469551086,5.333333333333333e-07,0.25,NA
33,0.0962662547826767,5.500000000000001e-07,0.1875,NA
34,0.08994144201278687,5.666666666666667e-07,0.171875,NA
35,0.09106557071208954,5.833333333333334e-07,0.1875,NA
36,0.09315194934606552,6.000000000000001e-07,0.171875,NA
37,0.0951806828379631,6.166666666666668e-07,0.15625,NA
38,0.09205823391675949,6.333333333333333e-07,0.171875,NA
39,0.09262038767337799,6.500000000000001e-07,0.1875,NA
40,0.09665478765964508,6.666666666666667e-07,0.171875,NA
41,0.0915781706571579,6.833333333333334e-07,0.203125,NA
42,0.0982796922326088,7.000000000000001e-07,0.140625,NA
43,0.08478743582963943,7.166666666666668e-07,0.328125,NA
44,0.09520969539880753,7.333333333333333e-07,0.15625,NA
45,0.09584400802850723,7.5e-07,0.171875,NA
46,0.08972790092229843,7.666666666666667e-07,0.28125,NA
47,0.09335541725158691,7.833333333333334e-07,0.1875,NA
48,0.0897727757692337,8.000000000000001e-07,0.25,NA
49,0.09022804349660873,8.166666666666669e-07,0.28125,NA
50,0.08912326395511627,8.333333333333333e-07,0.21875,NA
51,0.09674718976020813,8.5e-07,0.15625,NA
52,0.09449733793735504,8.666666666666668e-07,0.1875,NA
53,0.09299065917730331,8.833333333333335e-07,0.15625,NA
54,0.10091965645551682,9e-07,0.109375,NA
55,0.0966760441660881,9.166666666666667e-07,0.15625,NA
56,0.09486112743616104,9.333333333333334e-07,0.171875,NA
57,0.09108369052410126,9.500000000000001e-07,0.25,NA
58,0.09295114874839783,9.666666666666666e-07,0.171875,NA
59,0.08454420417547226,9.833333333333334e-07,0.3125,NA
60,0.09051992744207382,1.0000000000000002e-06,0.1875,NA
61,0.08749803155660629,1.0166666666666667e-06,0.265625,NA
62,0.09076843410730362,1.0333333333333333e-06,0.234375,NA
63,0.0926562026143074,1.0500000000000001e-06,0.234375,NA
64,0.09251007437705994,1.0666666666666667e-06,0.203125,NA
65,0.0916331335902214,1.0833333333333335e-06,0.21875,NA
66,0.09126482158899307,1.1000000000000003e-06,0.234375,NA
67,0.09528149664402008,1.1166666666666666e-06,0.1875,NA
68,0.09662610292434692,1.1333333333333334e-06,0.125,NA
69,0.09167099744081497,1.1500000000000002e-06,0.21875,NA
70,0.09065087884664536,1.1666666666666668e-06,0.21875,NA
71,0.09235057979822159,1.1833333333333334e-06,0.234375,NA
72,0.09589653462171555,1.2000000000000002e-06,0.1875,NA
73,0.09641624987125397,1.2166666666666667e-06,0.15625,NA
74,0.09811383485794067,1.2333333333333335e-06,0.15625,NA
75,0.0954304113984108,1.25e-06,0.15625,NA
76,0.09766515344381332,1.2666666666666667e-06,0.140625,NA
77,0.09077087789773941,1.2833333333333335e-06,0.234375,NA
78,0.09642305225133896,1.3000000000000003e-06,0.234375,NA
79,0.09307320415973663,1.3166666666666666e-06,0.21875,NA
80,0.09172964841127396,1.3333333333333334e-06,0.1875,NA
81,0.0931444838643074,1.3500000000000002e-06,0.21875,NA
82,0.09369617700576782,1.3666666666666668e-06,0.25,NA
83,0.0971941351890564,1.3833333333333336e-06,0.171875,NA
84,0.09716471284627914,1.4000000000000001e-06,0.171875,NA
85,0.09154123067855835,1.4166666666666667e-06,0.21875,NA
86,0.09357377141714096,1.4333333333333335e-06,0.203125,NA
87,0.08935851603746414,1.45e-06,0.203125,NA
88,0.0901256576180458,1.4666666666666667e-06,0.234375,NA
89,0.09494942426681519,1.4833333333333335e-06,0.125,NA
90,0.09827681630849838,1.5e-06,0.140625,NA
91,0.09537603706121445,1.5166666666666668e-06,0.171875,NA
92,0.09235032647848129,1.5333333333333334e-06,0.1875,NA
93,0.09305637329816818,1.5500000000000002e-06,0.1875,NA
94,0.09333202987909317,1.5666666666666668e-06,0.21875,NA
95,0.09353041648864746,1.5833333333333336e-06,0.25,NA
96,0.09082873165607452,1.6000000000000001e-06,0.234375,NA
97,0.0902867466211319,1.6166666666666667e-06,0.203125,NA
98,0.09353575110435486,1.6333333333333337e-06,0.1875,NA
99,0.09423268586397171,1.65e-06,0.21875,NA
100,0.09306241571903229,1.6666666666666667e-06,0.203125,0.195
101,0.09129829704761505,1.6833333333333335e-06,0.171875,NA
102,0.08850560337305069,1.7e-06,0.328125,NA
103,0.0873720794916153,1.7166666666666668e-06,0.265625,NA
104,0.08773865550756454,1.7333333333333336e-06,0.21875,NA
105,0.09307445585727692,1.7500000000000002e-06,0.21875,NA
106,0.09754680842161179,1.766666666666667e-06,0.15625,NA
107,0.09132689982652664,1.7833333333333333e-06,0.1875,NA
108,0.09194988012313843,1.8e-06,0.203125,NA
109,0.09217812120914459,1.8166666666666667e-06,0.203125,NA
110,0.09255370497703552,1.8333333333333335e-06,0.140625,NA
111,0.09797658026218414,1.85e-06,0.125,NA
112,0.09351032227277756,1.8666666666666669e-06,0.234375,NA
113,0.09726017713546753,1.8833333333333337e-06,0.125,NA
114,0.09235743433237076,1.9000000000000002e-06,0.25,NA
115,0.09831149876117706,1.916666666666667e-06,0.140625,NA
116,0.09518419951200485,1.933333333333333e-06,0.1875,NA
117,0.09104996174573898,1.95e-06,0.234375,NA
118,0.0922945961356163,1.9666666666666668e-06,0.234375,NA
119,0.0949934720993042,1.9833333333333335e-06,0.15625,NA
120,0.09786628931760788,2.0000000000000003e-06,0.15625,NA
121,0.09911403805017471,2.0166666666666667e-06,0.15625,NA
122,0.08452959358692169,2.0333333333333335e-06,0.265625,NA
123,0.10144732147455215,2.0500000000000003e-06,0.125,NA
124,0.09640368819236755,2.0666666666666666e-06,0.140625,NA
125,0.09921356290578842,2.0833333333333334e-06,0.109375,NA
126,0.09097778797149658,2.1000000000000002e-06,0.203125,NA
127,0.0889914333820343,2.1166666666666666e-06,0.25,NA
128,0.09322986751794815,2.1333333333333334e-06,0.1875,NA
129,0.093231700360775,2.15e-06,0.140625,NA
130,0.09484770894050598,2.166666666666667e-06,0.15625,NA
131,0.08525760471820831,2.1833333333333337e-06,0.28125,NA
132,0.09419888257980347,2.2000000000000005e-06,0.140625,NA
133,0.09530126303434372,2.216666666666667e-06,0.125,NA
134,0.09129605442285538,2.2333333333333333e-06,0.171875,NA
135,0.0998975932598114,2.25e-06,0.125,NA
136,0.09852491319179535,2.266666666666667e-06,0.125,NA
137,0.09975960105657578,2.2833333333333336e-06,0.078125,NA
138,0.0964350700378418,2.3000000000000004e-06,0.140625,NA
139,0.08862519264221191,2.316666666666667e-06,0.265625,NA
140,0.08827125281095505,2.3333333333333336e-06,0.25,NA
141,0.08142935484647751,2.35e-06,0.3125,NA
142,0.09696733206510544,2.3666666666666667e-06,0.140625,NA
143,0.09726637601852417,2.3833333333333335e-06,0.140625,NA
144,0.09646804630756378,2.4000000000000003e-06,0.1875,NA
145,0.09062041342258453,2.4166666666666667e-06,0.234375,NA
146,0.09862164407968521,2.4333333333333335e-06,0.109375,NA
147,0.09793876856565475,2.4500000000000003e-06,0.171875,NA
148,0.09147989749908447,2.466666666666667e-06,0.1875,NA
149,0.09972433745861053,2.483333333333334e-06,0.140625,NA
150,0.093846395611763,2.5e-06,0.1875,NA
151,0.0899384543299675,2.5166666666666666e-06,0.203125,NA
152,0.08719058334827423,2.5333333333333334e-06,0.328125,NA
153,0.09451734274625778,2.55e-06,0.15625,NA
154,0.09913720935583115,2.566666666666667e-06,0.171875,NA
155,0.0949464961886406,2.5833333333333337e-06,0.140625,NA
156,0.09121427685022354,2.6000000000000005e-06,0.171875,NA
157,0.09622146189212799,2.616666666666667e-06,0.1875,NA
158,0.08623089641332626,2.6333333333333332e-06,0.265625,NA
159,0.09483572840690613,2.65e-06,0.171875,NA
160,0.09158991277217865,2.666666666666667e-06,0.203125,NA
161,0.08835957199335098,2.6833333333333336e-06,0.25,NA
162,0.095430389046669,2.7000000000000004e-06,0.1875,NA
163,0.09850271791219711,2.7166666666666668e-06,0.0625,NA
164,0.0894630178809166,2.7333333333333336e-06,0.25,NA
165,0.0962166115641594,2.7500000000000004e-06,0.125,NA
166,0.09010998159646988,2.766666666666667e-06,0.1875,NA
167,0.09040254354476929,2.7833333333333335e-06,0.296875,NA
168,0.09998848289251328,2.8000000000000003e-06,0.171875,NA
169,0.09393907338380814,2.8166666666666667e-06,0.203125,NA
170,0.0952926054596901,2.8333333333333335e-06,0.15625,NA
171,0.0927327424287796,2.8500000000000002e-06,0.1875,NA
172,0.09330802410840988,2.866666666666667e-06,0.1875,NA
173,0.09732069820165634,2.883333333333334e-06,0.109375,NA
174,0.08869164437055588,2.9e-06,0.234375,NA
175,0.09517540782690048,2.9166666666666666e-06,0.1875,NA
176,0.08797980099916458,2.9333333333333333e-06,0.234375,NA
177,0.09279576689004898,2.95e-06,0.1875,NA
178,0.0974792093038559,2.966666666666667e-06,0.140625,NA
179,0.09238794445991516,2.9833333333333337e-06,0.203125,NA
180,0.08970919251441956,3e-06,0.25,NA
181,0.09709244221448898,3.016666666666667e-06,0.171875,NA
182,0.08949262648820877,3.0333333333333337e-06,0.1875,NA
183,0.0985480323433876,3.0500000000000004e-06,0.109375,NA
184,0.10206029564142227,3.066666666666667e-06,0.09375,NA
185,0.09729406982660294,3.0833333333333336e-06,0.171875,NA
186,0.09598268568515778,3.1000000000000004e-06,0.140625,NA
187,0.09143393486738205,3.1166666666666668e-06,0.265625,NA
188,0.09251853078603745,3.1333333333333335e-06,0.171875,NA
189,0.09681383520364761,3.1500000000000003e-06,0.1875,NA
190,0.09858192503452301,3.166666666666667e-06,0.140625,NA
191,0.08607915788888931,3.183333333333334e-06,0.296875,NA
192,0.09199405461549759,3.2000000000000003e-06,0.21875,NA
193,0.09122922271490097,3.2166666666666666e-06,0.1875,NA
194,0.09046731889247894,3.2333333333333334e-06,0.234375,NA
195,0.09197254478931427,3.2500000000000002e-06,0.171875,NA
196,0.09415536373853683,3.2666666666666674e-06,0.1875,NA
197,0.09575990587472916,3.2833333333333334e-06,0.140625,NA
198,0.09522400796413422,3.3e-06,0.15625,NA
199,0.09673001617193222,3.3166666666666665e-06,0.15625,NA
200,0.09653574228286743,3.3333333333333333e-06,0.1875,0.19703703703703704
201,0.08923675119876862,3.35e-06,0.265625,NA
202,0.09610723704099655,3.366666666666667e-06,0.125,NA
203,0.09252443164587021,3.3833333333333337e-06,0.171875,NA
204,0.09091188758611679,3.4e-06,0.265625,NA
205,0.09639694541692734,3.416666666666667e-06,0.15625,NA
206,0.08736289292573929,3.4333333333333336e-06,0.25,NA
